,year,geography,fips,cases_Female_Chlamydia_0-14,cases_Female_Chlamydia_15-19,cases_Female_Chlamydia_20-24,cases_Female_Chlamydia_25-29,cases_Female_Chlamydia_30-34,cases_Female_Chlamydia_35-39,cases_Female_Chlamydia_40-44,"cases_Female_Early Non-Primary, Non-Secondary Syphilis_0-14","cases_Female_Early Non-Primary, Non-Secondary Syphilis_15-19","cases_Female_Early Non-Primary, Non-Secondary Syphilis_20-24","cases_Female_Early Non-Primary, Non-Secondary Syphilis_25-29","cases_Female_Early Non-Primary, Non-Secondary Syphilis_30-34","cases_Female_Early Non-Primary, Non-Secondary Syphilis_35-39","cases_Female_Early Non-Primary, Non-Secondary Syphilis_40-44",cases_Female_Gonorrhea_0-14,cases_Female_Gonorrhea_15-19,cases_Female_Gonorrhea_20-24,cases_Female_Gonorrhea_25-29,cases_Female_Gonorrhea_30-34,cases_Female_Gonorrhea_35-39,cases_Female_Gonorrhea_40-44,cases_Female_Primary and Secondary Syphilis_0-14,cases_Female_Primary and Secondary Syphilis_15-19,cases_Female_Primary and Secondary Syphilis_20-24,cases_Female_Primary and Secondary Syphilis_25-29,cases_Female_Primary and Secondary Syphilis_30-34,cases_Female_Primary and Secondary Syphilis_35-39,cases_Female_Primary and Secondary Syphilis_40-44,cases_Male_Chlamydia_0-14,cases_Male_Chlamydia_15-19,cases_Male_Chlamydia_20-24,cases_Male_Chlamydia_25-29,cases_Male_Chlamydia_30-34,cases_Male_Chlamydia_35-39,cases_Male_Chlamydia_40-44,"cases_Male_Early Non-Primary, Non-Secondary Syphilis_0-14","cases_Male_Early Non-Primary, Non-Secondary Syphilis_15-19","cases_Male_Early Non-Primary, Non-Secondary Syphilis_20-24","cases_Male_Early Non-Primary, Non-Secondary Syphilis_25-29","cases_Male_Early Non-Primary, Non-Secondary Syphilis_30-34","cases_Male_Early Non-Primary, Non-Secondary Syphilis_35-39","cases_Male_Early Non-Primary, Non-Secondary Syphilis_40-44",cases_Male_Gonorrhea_0-14,cases_Male_Gonorrhea_15-19,cases_Male_Gonorrhea_20-24,cases_Male_Gonorrhea_25-29,cases_Male_Gonorrhea_30-34,cases_Male_Gonorrhea_35-39,cases_Male_Gonorrhea_40-44,cases_Male_Primary and Secondary Syphilis_0-14,cases_Male_Primary and Secondary Syphilis_15-19,cases_Male_Primary and Secondary Syphilis_20-24,cases_Male_Primary and Secondary Syphilis_25-29,cases_Male_Primary and Secondary Syphilis_30-34,cases_Male_Primary and Secondary Syphilis_35-39,cases_Male_Primary and Secondary Syphilis_40-44,ratePer100000_Female_Chlamydia_0-14,ratePer100000_Female_Chlamydia_15-19,ratePer100000_Female_Chlamydia_20-24,ratePer100000_Female_Chlamydia_25-29,ratePer100000_Female_Chlamydia_30-34,ratePer100000_Female_Chlamydia_35-39,ratePer100000_Female_Chlamydia_40-44,"ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_0-14","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_15-19","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_20-24","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_25-29","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_30-34","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_35-39","ratePer100000_Female_Early Non-Primary, Non-Secondary Syphilis_40-44",ratePer100000_Female_Gonorrhea_0-14,ratePer100000_Female_Gonorrhea_15-19,ratePer100000_Female_Gonorrhea_20-24,ratePer100000_Female_Gonorrhea_25-29,ratePer100000_Female_Gonorrhea_30-34,ratePer100000_Female_Gonorrhea_35-39,ratePer100000_Female_Gonorrhea_40-44,ratePer100000_Female_Primary and Secondary Syphilis_0-14,ratePer100000_Female_Primary and Secondary Syphilis_15-19,ratePer100000_Female_Primary and Secondary Syphilis_20-24,ratePer100000_Female_Primary and Secondary Syphilis_25-29,ratePer100000_Female_Primary and Secondary Syphilis_30-34,ratePer100000_Female_Primary and Secondary Syphilis_35-39,ratePer100000_Female_Primary and Secondary Syphilis_40-44,ratePer100000_Male_Chlamydia_0-14,ratePer100000_Male_Chlamydia_15-19,ratePer100000_Male_Chlamydia_20-24,ratePer100000_Male_Chlamydia_25-29,ratePer100000_Male_Chlamydia_30-34,ratePer100000_Male_Chlamydia_35-39,ratePer100000_Male_Chlamydia_40-44,"ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_0-14","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_15-19","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_20-24","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_25-29","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_30-34","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_35-39","ratePer100000_Male_Early Non-Primary, Non-Secondary Syphilis_40-44",ratePer100000_Male_Gonorrhea_0-14,ratePer100000_Male_Gonorrhea_15-19,ratePer100000_Male_Gonorrhea_20-24,ratePer100000_Male_Gonorrhea_25-29,ratePer100000_Male_Gonorrhea_30-34,ratePer100000_Male_Gonorrhea_35-39,ratePer100000_Male_Gonorrhea_40-44,ratePer100000_Male_Primary and Secondary Syphilis_0-14,ratePer100000_Male_Primary and Secondary Syphilis_15-19,ratePer100000_Male_Primary and Secondary Syphilis_20-24,ratePer100000_Male_Primary and Secondary Syphilis_25-29,ratePer100000_Male_Primary and Secondary Syphilis_30-34,ratePer100000_Male_Primary and Secondary Syphilis_35-39,ratePer100000_Male_Primary and Secondary Syphilis_40-44
382,2020 (COVID-19 Pandemic),"Carroll County, IN",18015,0.0,14.0,29.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,3.0,1.0,0.0,0.0,,,,,,,,0.0,4.0,8.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,2447.6,5598.5,1047.1,379.5,343.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.3,2123.6,523.6,189.8,0.0,0.0,,,,,,,,0.0,607.0,1457.2,328.9,170.6,175.1,175.1,0.0,0.0,0.0,0.0,0.0,0.0,175.1,0.0,303.5,910.7,164.5,0.0,0.0,0.0,,,,,,,
383,2020 (COVID-19 Pandemic),"Carroll County, KY",21041,0.0,10.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3105.6,5351.2,1572.3,729.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.4,1227.0,785.3,662.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,2020 (COVID-19 Pandemic),"Carroll County, MD",24013,0.0,58.0,106.0,26.0,14.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,46.0,22.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,5.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1079.1,2221.8,570.4,287.5,152.5,43.2,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,37.2,167.7,109.7,41.1,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.3,931.6,451.8,76.6,57.1,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6,121.5,143.8,95.7,57.1,85.2,0.0,0.0,0.0,20.5,0.0,19.0,0.0
385,2020 (COVID-19 Pandemic),"Carroll County, MO",29033,0.0,8.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2857.1,2449.0,431.0,458.7,0.0,371.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.1,408.2,0.0,458.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.6,1224.5,778.2,510.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.4,0.0,458.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,2020 (COVID-19 Pandemic),"Carroll County, MS",28015,1.0,21.0,12.0,5.0,1.0,0.0,0.0,,,,,,,,1.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,,,,,,,,0.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.7,7581.2,5194.8,1976.3,454.5,0.0,0.0,,,,,,,,133.7,2166.1,1731.6,1185.8,454.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.2,1960.8,326.8,332.2,0.0,0.0,,,,,,,,0.0,378.8,1634.0,326.8,332.2,0.0,381.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,2020 (COVID-19 Pandemic),"Carroll County, NH",33003,0.0,9.0,24.0,8.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.3,2407.2,729.3,548.4,166.8,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.6,0.0,0.0,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.5,456.2,346.6,467.3,85.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,85.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,2020 (COVID-19 Pandemic),"Carroll County, OH",39019,0.0,4.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.1,1928.8,597.0,432.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.1,0.0,149.3,144.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.6,855.9,0.0,292.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.4,142.7,262.1,146.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,2020 (COVID-19 Pandemic),"Carroll County, TN",47017,1.0,33.0,36.0,16.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,20.0,13.0,8.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,15.0,12.0,11.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.7,3801.8,4363.6,2027.9,258.4,410.4,266.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.3,1939.4,1013.9,516.8,136.8,800.0,0.0,0.0,0.0,126.7,129.2,0.0,0.0,0.0,689.0,2207.5,1547.6,1065.2,422.5,281.7,0.0,0.0,220.8,0.0,133.2,0.0,0.0,0.0,492.1,1655.6,1428.6,1464.7,563.4,422.5,0.0,0.0,0.0,119.0,133.2,0.0,0.0
390,2020 (COVID-19 Pandemic),"Carroll County, VA",51035,0.0,6.0,17.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.2,2635.7,1792.6,840.3,0.0,127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.1,620.2,128.0,1120.4,136.1,127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.2,667.6,129.2,0.0,239.8,0.0,0.0,129.7,133.5,0.0,0.0,0.0,0.0,0.0,259.4,133.5,129.2,0.0,359.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,2020 (COVID-19 Pandemic),"Carson City, NV",32510,0.0,30.0,62.0,16.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,11.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,11.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2052.0,4434.9,926.5,631.3,326.4,220.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.8,173.7,315.7,130.5,73.6,0.0,68.4,71.5,0.0,0.0,0.0,0.0,0.0,596.8,1433.5,523.1,439.5,163.8,60.4,0.0,0.0,0.0,0.0,0.0,54.6,60.4,0.0,0.0,344.0,523.1,146.5,54.6,60.4,0.0,0.0,114.7,47.6,48.8,0.0,0.0
392,2020 (COVID-19 Pandemic),"Carson County, TX",48065,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,1530.6,719.4,1219.5,561.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,2020 (COVID-19 Pandemic),"Carter County, KY",21043,0.0,11.0,10.0,8.0,1.0,0.0,0.0,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,8.0,2.0,1.0,0.0,,,,,,,,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1380.2,1257.9,974.4,137.4,0.0,0.0,,,,,,,,0.0,125.5,125.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,231.5,495.7,939.0,294.6,129.5,0.0,,,,,,,,0.0,115.7,123.9,117.4,441.8,129.5,0.0,0.0,0.0,123.9,117.4,0.0,0.0,124.8
394,2020 (COVID-19 Pandemic),"Carter County, MO",29035,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.4,1333.3,613.5,0.0,628.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,588.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.5,689.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.1,0.0,0.0,684.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,2020 (COVID-19 Pandemic),"Carter County, MT",30011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,2020 (COVID-19 Pandemic),"Carter County, OK",40019,2.0,70.0,92.0,27.0,7.0,5.0,6.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,32.0,25.0,19.0,8.0,7.0,8.0,0.0,2.0,5.0,3.0,4.0,3.0,4.0,0.0,15.0,28.0,9.0,11.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,7.0,15.0,21.0,14.0,8.0,7.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,40.9,4578.2,6562.1,1654.4,506.5,325.3,423.1,0.0,65.4,214.0,183.8,72.4,65.1,70.5,20.4,2092.9,1783.2,1164.2,578.9,455.4,564.2,0.0,130.8,356.6,183.8,289.4,195.2,282.1,0.0,945.8,2001.4,527.2,750.9,271.2,277.2,0.0,63.1,71.5,58.6,68.3,203.4,69.3,0.0,441.4,1072.2,1230.2,955.6,542.4,485.1,0.0,0.0,143.0,58.6,204.8,135.6,69.3
397,2020 (COVID-19 Pandemic),"Carter County, TN",47019,1.0,43.0,41.0,22.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,11.0,9.0,3.0,3.0,,,,,,,,0.0,12.0,16.0,13.0,8.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,12.0,7.0,3.0,,,,,,,,24.5,3030.3,2903.7,1257.9,412.5,133.6,190.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.8,1274.8,628.9,530.3,200.4,190.6,,,,,,,,0.0,795.2,1102.7,711.5,450.2,376.6,0.0,0.0,66.3,0.0,0.0,0.0,0.0,0.0,0.0,198.8,551.3,711.5,675.3,439.4,190.8,,,,,,,
398,2020 (COVID-19 Pandemic),"Carteret County, NC",37031,0.0,42.0,70.0,21.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,11.0,5.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.0,4682.3,1310.9,385.9,218.8,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.7,602.0,437.0,0.0,54.7,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.4,939.8,571.7,289.7,210.5,275.8,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,220.1,62.7,363.8,115.9,157.9,165.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,2020 (COVID-19 Pandemic),"Carver County, MN",27019,0.0,42.0,52.0,25.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,9.0,6.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1109.9,1785.1,1014.6,317.1,76.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.7,240.3,243.5,0.0,50.9,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.2,585.4,367.2,196.9,25.7,81.5,0.0,0.0,0.0,40.8,0.0,0.0,27.2,0.0,25.5,172.2,81.6,65.6,51.4,27.2,0.0,0.0,0.0,0.0,0.0,25.7,0.0
400,2020 (COVID-19 Pandemic),"Cascade County, MT",30013,0.0,108.0,95.0,43.0,24.0,17.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,36.0,30.0,15.0,14.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,53.0,41.0,19.0,12.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,24.0,32.0,15.0,24.0,13.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,5247.8,3774.3,1476.1,912.9,692.7,146.6,0.0,0.0,39.7,0.0,0.0,40.7,0.0,0.0,680.3,1430.3,1029.9,570.6,570.5,195.4,0.0,0.0,0.0,0.0,76.1,40.7,0.0,0.0,1008.4,1662.0,1226.8,689.4,448.8,283.2,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,378.2,752.6,957.5,544.3,897.5,613.5,0.0,0.0,31.4,29.9,36.3,112.2,0.0
401,2020 (COVID-19 Pandemic),"Casey County, KY",21045,0.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057.1,915.3,543.5,672.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.8,228.8,181.2,0.0,0.0,204.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.9,729.9,0.0,459.8,0.0,228.3,0.0,0.0,0.0,0.0,0.0,208.3,0.0,0.0,0.0,0.0,199.2,459.8,208.3,456.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,2020 (COVID-19 Pandemic),"Cass County, IA",19029,0.0,7.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.5,1107.0,1152.7,647.2,273.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.4,738.0,288.2,323.6,819.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.6,319.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.4,849.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,2020 (COVID-19 Pandemic),"Cass County, IL",17017,0.0,28.0,16.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7887.3,4908.0,3179.2,1519.8,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.5,613.5,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954.7,1897.0,1515.2,292.4,238.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,909.1,292.4,477.3,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,2020 (COVID-19 Pandemic),"Cass County, IN",18017,0.0,30.0,39.0,22.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,8.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2620.1,3790.1,2009.1,591.1,511.9,175.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.7,680.3,730.6,295.6,511.9,175.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.1,1351.4,726.4,304.9,0.0,246.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.5,565.0,101.6,87.5,246.9,0.0,0.0,0.0,80.7,0.0,0.0,0.0
